x, y
-73.6335897, 45.4514759
-73.6303066, 45.4533424
-73.6273241, 45.4555701
-73.6212306, 45.4593932
-73.6179257, 45.4611390
-73.6142350, 45.4626892
-73.6068000, 45.4658044
-73.6064888, 45.4666622
-73.6058339, 45.4672641
-73.6041927, 45.4682272
-73.6026780, 45.4693107
-73.6033071, 45.4695891
-73.6053944, 45.4685809
-73.6072251, 45.4674071
-73.6100052, 45.4665719
-73.6116172, 45.4656915
-73.6120248, 45.4654884
-73.6125129, 45.4657141
-73.6132695, 45.4660264
-73.6135593, 45.4661355
-73.6149218, 45.4650294
-73.6151897, 45.4646625
-73.6156622, 45.4642694
-73.6168420, 45.4636072
-73.6179486, 45.4631933
-73.6218773, 45.4624107
-73.6230433, 45.4619893
-73.6240992, 45.4615153
-73.6250281, 45.4610261
-73.6259026, 45.4605295
-73.6262834, 45.4601908
-73.6266053, 45.4597393
-73.6271263, 45.4588814
-73.6287618, 45.4575193
-73.6298239, 45.4569775
-73.6307759, 45.4564356
-73.6317981, 45.4552315
-73.6326759, 45.4540047
-73.6333323, 45.4531167
-73.6336649, 45.4526199
-73.6337386, 45.4521382
-73.6336971, 45.4518108
-73.6335897, 45.4514759
